County,AccCount,Population
Abbeville,138,24541
Acadia,43,62190
Accomack,20,32412
Ada,90,469966
Adair,10,73699
Adams,2284,856729
Addison,3,36973
Aiken,1297,169401
Aitkin,16,15902
Alachua,609,269956
Alamance,169,166436
Alameda,11065,1666753
Alamosa,1,16683
Albany,1805,345718
Albemarle,360,108718
Alcorn,2,36925
Alexander,10,43413
Alexandria,477,160530
Alexandria City,5,160530
Alger,1,9097
Allamakee,2,13832
Allegan,119,117327
Allegany,58,117405
Alleghany,55,26071
Allegheny,2279,1218452
Allen,115,511580
Allendale,32,8903
Alpena,4,28360
Alpine,9,1101
Amador,155,39383
Amelia,38,13013
Amherst,33,31666
Amite,4,12326
Anderson,3065,365562
Andrew,3,17607
Androscoggin,26,107679
Angelina,22,87092
Anne Arundel,1032,576031
Anoka,966,353813
Anson,11,24877
Antrim,3,23365
Apache,71,71818
Appling,2,18507
Appomattox,19,15841
Arapahoe,1539,651215
Archer,8,8786
Archuleta,3,13765
Arenac,18,15041
Arkansas,2,17769
Arlington,584,237521
Armstrong,21,67155
Aroostook,7,67111
Ascension,94,124672
Ashland,24,69345
Ashley,2,20046
Ashtabula,20,97493
Atascosa,5,50310
Atchison,3,21364
Athens,20,65818
Atkinson,4,8297
Atlantic,320,265429
Atoka,2,13838
Auglaize,16,45804
Augusta,347,75457
Aurora,1,2801
Austin,5,29989
Autauga,115,55601
Avery,2,17505
Avoyelles,2,40462
Baca,8,3585
Bacon,6,11185
Bailey,2,7027
Baker,445,47453
Baldwin,447,262845
Baltimore,56,602495
Baltimore City,994,602495
Baltimore County,1821,828431
Bamberg,62,14275
Bandera,2,22824
Banks,40,18988
Bannock,13,87138
Baraga,2,8320
Barbour,5,41416
Barnes,1,10542
Barnstable,264,213413
Barnwell,102,21112
Barren,4,44176
Barron,3,45164
Barrow,53,80809
Barry,16,97043
Bartholomew,386,82753
Barton,1,37909
Bartow,158,106408
Bastrop,27,86976
Bates,4,16320
Bath,8,16675
Bay,345,289210
Bayfield,4,15042
Baylor,3,3582
Beaufort,853,235794
Beaver,102,176641
Beaverhead,5,9404
Becker,34,34371
Beckham,8,21709
Bedford,124,175961
Bedford County,84,175961
Bee,2,32587
Belknap,186,61022
Bell,74,382211
Belmont,55,67505
Beltrami,15,46847
Ben Hill,2,16787
Benewah,3,9226
Bennington,14,35631
Bent,5,5882
Benton,197,685159
Bergen,1702,936692
Berkeley,2138,338214
Berks,263,420152
Berkshire,35,126348
Bernalillo,1736,678701
Berrien,168,173393
Bertie,11,19026
Bexar,7184,1986049
Bibb,286,175495
Bienville,12,13308
Big Horn,12,25219
Bingham,7,46236
Black Hawk,27,132408
Bladen,2,33190
Blaine,3,39369
Blair,48,122492
Blanco,11,11702
Bland,86,6293
Bleckley,9,12838
Bledsoe,2,14755
Blount,534,189189
Blue Earth,72,67427
Boise,12,7634
Bond,7,16630
Bonner,11,44727
Bonneville,24,116854
Boone,733,523130
Bosque,1,18691
Bossier,160,127185
Botetourt,179,33277
Boulder,199,326078
Boundary,3,11948
Bourbon,1,34837
Bowie,9,94324
Box Elder,323,54950
Boyd,6,49195
Bradford,67,88565
Bradley,121,117624
Branch,6,43622
Brantley,8,18897
Braxton,16,14089
Brazoria,175,370200
Brazos,8,226758
Bremer,1,24947
Brevard,857,596849
Bristol,492,877
Bronx,2519,1432132
Brooke,1,22203
Brooks,12,22627
Broome,113,191659
Broomfield,203,69267
Broward,5332,1951260
Brown,256,443692
Brunswick,114,153128
Bryan,40,85301
Buchanan,41,130991
Buckingham,25,16999
Bucks,540,628195
Buena Vista,5,6237
Buffalo,14,64776
Bullitt,40,81069
Bulloch,37,77296
Bullock,3,10138
Buncombe,342,259103
Bureau,21,32993
Burke,85,114905
Burleigh,1,95273
Burlington,809,445384
Burnet,18,47542
Burnett,2,15392
Burt,2,6488
Butler,426,734719
Butte,431,244089
Butts,108,24193
Cabarrus,274,211342
Cabell,57,93224
Cache,15,127068
Caddo,1440,28977
Calaveras,223,45602
Calcasieu,295,203112
Caldwell,27,147099
Caledonia,3,30302
Calhoun,507,347252
Callahan,12,13994
Callaway,11,44889
Calumet,5,50159
Calvert,24,92003
Camas,1,1127
Cambria,56,131730
Camden,1520,617280
Cameron,29,428400
Campbell,340,235225
Canadian,734,144447
Candler,17,10836
Cannon,2,14462
Canyon,43,223499
Cape Girardeau,14,78753
Cape May,114,92560
Carbon,198,110181
Caribou,4,7060
Carlton,46,35837
Caroline,231,64076
Carroll,389,532273
Carson City,175,55414
Carter,16,138824
Carteret,1,69524
Carver,124,103551
Cascade,6,81643
Cass,171,487065
Cassia,9,23864
Caswell,7,22698
Catawba,124,158652
Catoosa,54,67420
Catron,4,3578
Cattaraugus,13,76840
Cayuga,93,77145
Cecil,180,102826
Cedar,24,41238
Centre,334,162805
