City,State,ID
Aaronsburg,PA,2
Abbeville,MS,1
Abbeville,SC,65
Abbotsford,WI,4
Abbott,TX,9
Abbottstown,PA,15
Aberdeen,ID,1
Aberdeen,MD,97
Aberdeen,NC,18
Aberdeen,OH,1
Aberdeen,WA,51
Abernathy,TX,3
Abilene,TX,19
Abingdon,MD,64
Abingdon,VA,91
Abington,MA,8
Abington,PA,103
Abita Springs,LA,2
Abrams,WI,2
Absecon,NJ,30
Acampo,CA,78
Accident,MD,2
Accokeek,MD,7
Accomac,VA,10
Acme,PA,5
Acme,WA,1
Acton,CA,321
Acton,MA,43
Acushnet,MA,3
Acworth,GA,77
Ada,MI,9
Ada,OH,3
Adair,IA,4
Adair,OK,2
Adair Village,OR,2
Adairsville,GA,23
Adams,MN,3
Adams,NY,1
Adams,OR,12
Adams,TN,1
Adams,WI,4
Adams Center,NY,1
Adams Run,SC,4
Adamstown,MD,19
Adamsville,AL,2
Addis,LA,1
Addison,IL,117
Addison,NY,2
Addison,TX,10
Addyston,OH,3
Adel,GA,8
Adel,IA,13
Adel,OR,27
Adelanto,CA,15
Adelphi,MD,6
Adena,OH,1
Adin,CA,1
Adkins,TX,2
Adrian,MI,5
Adrian,MN,8
Advance,NC,7
Afton,MN,68
Afton,NY,2
Afton,OK,2
Afton,TN,1
Afton,VA,15
Afton,WY,1
Agate,CO,6
Agawam,MA,1
Agoura Hills,CA,177
Aguilar,CO,5
Ahoskie,NC,5
Ahwahnee,CA,8
Aiken,SC,523
Ailey,GA,1
Airmont,NY,3
Airville,PA,4
Airway Heights,WA,2
Aitkin,MN,7
Ajo,AZ,15
Akeley,MN,4
Akron,CO,2
Akron,MI,2
Akron,NY,3
Akron,OH,692
Akron,PA,11
Alabaster,AL,60
Alachua,FL,144
Alameda,CA,4
Alamo,CA,408
Alamo,GA,7
Alamo,NV,8
Alamo,TX,10
Alamogordo,NM,6
Alamosa,CO,1
Alapaha,GA,1
Albany,GA,46
Albany,MN,11
Albany,NH,3
Albany,NY,995
Albany,OR,312
Albemarle,NC,3
Albers,IL,2
Albert Lea,MN,58
Alberta,VA,22
Alberton,MT,1
Albertson,NY,2
Albertville,AL,2
Albertville,MN,38
Albion,CA,6
Albion,IN,2
Albion,ME,1
Albion,MI,16
Albion,PA,7
Albuquerque,NM,1726
Alcoa,TN,19
Alcolu,SC,68
Alden,MN,6
Alden,NY,3
Alderpoint,CA,3
Aldie,VA,69
Aldrich,MN,10
Aledo,TX,21
Alexander,AR,1
Alexander,IL,2
Alexander,NC,1
Alexander City,AL,12
Alexandria,IN,1
Alexandria,KY,9
Alexandria,LA,23
Alexandria,MN,22
Alexandria,OH,2
Alexandria,VA,822
Alford,FL,15
Alfred,ME,2
Algodones,NM,6
Algona,IA,1
Algonquin,IL,9
Alhambra,CA,427
Alice,TX,5
Aliceville,AL,5
Aliquippa,PA,8
Aliso Viejo,CA,6
Allegan,MI,7
Alleman,IA,3
Allen,TX,59
Allen Park,MI,163
Allendale,MI,16
Allendale,NJ,3
Allendale,SC,10
Allenport,PA,3
Allenton,WI,13
Allentown,NJ,35
Allentown,PA,235
Allenwood,NJ,1
Allenwood,PA,1
Alleyton,TX,2
Alliance,OH,3
Allison Park,PA,19
Allston,MA,66
Allyn,WA,8
Alma,AR,6
Alma,GA,6
Alma,MI,1
Alma,WI,2
Almont,MI,4
Alpena,MI,4
Alpha,MN,3
Alpharetta,GA,292
Alpine,NJ,21
Alpine,UT,1
Alpine,WY,1
Alplaus,NY,2
Alsea,OR,17
Alsip,IL,69
Alstead,NH,4
Alta,CA,53
Altadena,CA,117
Altamont,IL,3
Altamont,MO,2
Altamont,NY,8
Altamont,TN,1
Altamont,UT,1
Altamonte Springs,FL,315
Altavista,VA,7
Altha,FL,7
Alto,GA,8
Alton,IA,1
Alton,IL,4
Alton,ME,1
Alton,NH,13
Alton,TX,1
Alton,UT,5
Alton,VA,3
Alton Bay,NH,2
Altoona,AL,38
Altoona,FL,10
Altoona,IA,43
Altoona,PA,16
Altoona,WI,5
Altura,MN,2
Alturas,CA,1
Altus,AR,1
Alva,FL,37
Alvarado,TX,17
Alverton,PA,2
Alvin,TX,13
Alviso,CA,8
Alvordton,OH,2
Amanda,OH,4
Amanda Park,WA,1
Amargosa Valley,NV,1
Amarillo,TX,9
Amawalk,NY,1
Amberg,WI,2
Ambler,PA,247
Amboy,MN,1
Amboy,WA,3
Ambrose,GA,1
Amelia,OH,8
Amelia Court House,VA,30
Amenia,NY,8
American Canyon,CA,117
American Falls,ID,2
American Fork,UT,144
Americus,GA,4
Ames,IA,48
Amesbury,MA,20
Amherst,CO,1
Amherst,MA,6
Amherst,NH,4
Amherst,OH,16
Amherst,VA,9
Amherst,WI,1
Amherst Junction,WI,1
Amidon,ND,1
Amissville,VA,6
Amite,LA,6
Amity,OR,36
Amity,PA,4
Amityville,NY,43
Amma,WV,7
Amsterdam,NY,34
Amston,CT,3
Anabel,MO,1
Anacortes,WA,26
Anaheim,CA,2090
Anaheim-Santa Ana-Garden Grove,CA,1
Anahuac,TX,1
Ancram,NY,10
Andalusia,AL,5
Anderson,CA,55
Anderson,IN,85
Anderson,SC,1496
Andersonville,TN,2
Andover,CT,1
Andover,MA,333
Andover,MN,6
Andover,NH,4
Andover,NJ,17
Andrews,SC,69
Andrews Air Force Base,MD,12
Aneth,UT,2
Angels Camp,CA,24
Angier,NC,8
Angleton,TX,22
Angola,IN,5
Angola,NY,1
Angora,MN,1
